"Chen, S. et al. Unveiling the Critical Role of Ion Coordination Configuration of Ether Electrolytes for High Voltage Lithium Metal Batteries. Angewandte Chemie International Edition 62, e202219310 (2023)."
"Zhao, Y. et al. Targeted Functionalization of Cyclic Ether Solvents for Controlled Reactivity in High-Voltage Lithium Metal Batteries. ACS Energy Lett. 8, 3180–3187 (2023)."
"Zhou, T., Zhao, Y., El Kazzi, M., Choi, J. W. & Coskun, A. Integrated Ring-Chain Design of a New Fluorinated Ether Solvent for High-Voltage Lithium-Metal Batteries. Angewandte Chemie International Edition 61, e202115884 (2022)."
"Lian, J. et al. Unique Non-Chelating Multidentate Ligand Tuning Solvation Structure and Interfacial Chemistry for High-Voltage Lithium Metal Batteries. Advanced Functional Materials 35, 2421802 (2025)."
"Wang, Z. et al. Ion-Dipole Chemistry Drives Rapid Evolution of Li Ions Solvation Sheath in Low-Temperature Li Batteries. Advanced Energy Materials 11, 2100935 (2021)."
"Zhang, H. et al. Simultaneous Stabilization of Lithium Anode and Cathode using Hyperconjugative Electrolytes for High-voltage Lithium Metal Batteries. Angewandte Chemie International Edition 62, e202218970 (2023)."
"Wang, Y. et al. Difluoroester solvent toward fast-rate anion-intercalation lithium metal batteries under extreme conditions. Nat Commun 15, 5408 (2024)."
"Li, R. et al. A path towards high lithium-metal electrode coulombic efficiency based on electrolyte interaction motif descriptor. Nat Commun 16, 4672 (2025)."
"Zheng, Z. et al. Deciphering Coulombic Efficiency of Lithium Metal Anodes by Screening Electrolyte Properties. Angewandte Chemie International Edition n/a, e202507387."
"Yang, Y. et al. Molecular Engineering of Monofluorinated Siloxane Electrolytes for High-Voltage Lithium Metal Batteries. Advanced Functional Materials n/a, 2508056."
"Zhou, X. et al. 3-(2,2,2-Trifluoroethoxy)propionitrile-based electrolytes for high energy density lithium metal batteries. Nanoscale 14, 17237–17246 (2022)."
"Qu, Z. et al. Strongly and Weakly Solvating Solvents Co-Coordinated Electrolyte for Stable Lithium Metal Batteries. ACS Energy Lett. 2913–2923 (2025) doi:10.1021/acsenergylett.5c01025."
"Hobold, G. M., Wang, C., Steinberg, K., Li, Y. & Gallant, B. M. High lithium oxide prevalence in the lithium solid–electrolyte interphase for high Coulombic efficiency. Nat Energy 9, 580–591 (2024)."
"Lu, Y. et al. Tuning the Li+ Solvation Structure by a “Bulky Coordinating” Strategy Enables Nonflammable Electrolyte for Ultrahigh Voltage Lithium Metal Batteries. ACS Nano 17, 9586–9599 (2023)."
"Shi, J. et al. An Amphiphilic Molecule-Regulated Core-Shell-Solvation Electrolyte for Li-Metal Batteries at Ultra-Low Temperature. Angewandte Chemie International Edition 62, e202218151 (2023)."
"Pham, T. D., Faheem, A. B., Nguyen, H. D., Oh, H. M. & Lee, K.-K. Enhanced performances of lithium metal batteries by synergistic effect of low concentration bisalt electrolyte. J. Mater. Chem. A 10, 12035–12046 (2022)."
"Sun, C. et al. High-Voltage Li Metal Batteries Enabled by Adsorption-Defluorination Mechanism. ACS Energy Lett. 8, 4119–4128 (2023)."
"Hu, F. et al. Entropy Increase in Electrolytes for Practical Anode-Free Lithium Metal Batteries with High-Loading Cathodes and Lean Electrolyte. Advanced Functional Materials 35, 2413004 (2025)."
"Li, Y. et al. Anion engineering in a single ether solvent electrolyte enables a 4.7 V high-voltage lithium metal battery. Sci. China Chem. (2025) doi:10.1007/s11426-025-2719-x."
"Pompizii, L. et al. Non-fluorinated Asymmetric Ether Electrolytes with Controlled Solvation Structure for High-Voltage Lithium Metal Batteries. ACS Energy Lett. 10, 3900–3906 (2025)."
"Ruan, D. et al. Oscillating lithium ion-acceptor fluorine-donor electrolytes for practical fast-charging high-energy lithium metal pouch cells. Energy Environ. Sci. 18, 6224–6236 (2025)."
"Yan, C. et al. Electrolyte Design via Hydrogen Bonding Between Solvent and Non-Solvating Cosolvent Enabling Stable Lithium Metal Batteries at −20°C. Carbon Neutralization 4, e70015 (2025)."
"Gao, S. et al. High-Voltage and Ultralow-Temperature Lithium Metal Batteries Achieved by Methyl Acetate-Based Locally High-Concentration Electrolyte. ACS Appl. Mater. Interfaces 17, 33998–34009 (2025)."
"Zhang, G. et al. Molecular Design of Asymmetric Difluorinated Ether Electrolytes for Stable Operation of High-Voltage Lithium Metal Batteries. Angewandte Chemie n/a, e202506056."
